"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","771","TC-008: Verify removing product from inventory page decreases cart count","chromium","2026-08-10","passed","2026-08-10","Inventory - Inventory Tests","inventory/inventory.spec.js","",""
"","1548","TC-004: Verify login fails with empty username","chromium","2026-08-10","passed","2026-08-10","Authentication - Login Tests","auth/login.spec.js","",""
"","1098","TC-001: Verify successful login with valid credentials","chromium","2026-08-10","passed","2026-08-10","Authentication - Login Tests","auth/login.spec.js","",""
"","1436","TC-002: Verify all navigation in inventory page","chromium","2026-08-10","passed","2026-08-10","Inventory - Inventory Tests","inventory/inventory.spec.js","",""
"","1059","TC-002: Verify cancel button navigation","chromium","2026-08-10","passed","2026-08-10","Checkout - Checkout Overview Page Tests","checkout/checkout-overview.spec.js","",""
"","805","TC-004: Verify sorting products by Name (Z to A)","chromium","2026-08-10","passed","2026-08-10","Inventory - Inventory Tests","inventory/inventory.spec.js","",""
"","2036","TC-002: Verify login fails with invalid username","chromium","2026-08-10","passed","2026-08-10","Authentication - Login Tests","auth/login.spec.js","",""
"","806","TC-001: Verify all items are present in inventory page","chromium","2026-08-10","passed","2026-08-10","Inventory - Inventory Tests","inventory/inventory.spec.js","",""
"","1557","TC-003: Verify login fails with invalid password","chromium","2026-08-10","passed","2026-08-10","Authentication - Login Tests","auth/login.spec.js","",""
"","993","TC-003: Verify sorting products by Name (A to Z)","chromium","2026-08-10","passed","2026-08-10","Inventory - Inventory Tests","inventory/inventory.spec.js","",""
"","987","TC-001: Verify product details and complete order","chromium","2026-08-10","passed","2026-08-10","Checkout - Checkout Overview Page Tests","checkout/checkout-overview.spec.js","",""
"","1107","TC-003: Verify error messages for empty required fields","chromium","2026-08-10","passed","2026-08-10","Checkout - Checkout Page Tests","checkout/checkout.spec.js","",""
"","863","TC-001: Verify filling checkout form with valid data and continue to checkout overview","chromium","2026-08-10","passed","2026-08-10","Checkout - Checkout Page Tests","checkout/checkout.spec.js","",""
"","775","TC-003: Verify ""Continue Shopping"" button navigates back to inventory page","chromium","2026-08-10","passed","2026-08-10","Cart - Cart Tests","cart/cart.spec.js","",""
"","760","TC-004: Verify ""Checkout"" button navigates to checkout page","chromium","2026-08-10","passed","2026-08-10","Cart - Cart Tests","cart/cart.spec.js","",""
"","1532","TC-005: Verify login fails with empty password","chromium","2026-08-10","passed","2026-08-10","Authentication - Login Tests","auth/login.spec.js","",""
"","1192","TC-006: Verify successful logout","chromium","2026-08-10","passed","2026-08-10","Authentication - Login Tests","auth/login.spec.js","",""
"","774","TC-001: Verify cart displays correct product details (name, description, price, quantity)","chromium","2026-08-10","passed","2026-08-10","Cart - Cart Tests","cart/cart.spec.js","",""
"","800","TC-002: Verify cancel button returns to cart page","chromium","2026-08-10","passed","2026-08-10","Checkout - Checkout Page Tests","checkout/checkout.spec.js","",""
"","1340","TC-002: Verify removing product from cart using ""Remove"" button","chromium","2026-08-10","passed","2026-08-10","Cart - Cart Tests","cart/cart.spec.js","",""
"","804","TC-006: Verify sorting products by Price (high to low)","chromium","2026-08-10","passed","2026-08-10","Inventory - Inventory Tests","inventory/inventory.spec.js","",""
"","790","TC-005: Verify sorting products by Price (low to high)","chromium","2026-08-10","passed","2026-08-10","Inventory - Inventory Tests","inventory/inventory.spec.js","",""
"","791","TC-007: Verify ""Add to cart"" button changes to ""Remove"" and cart badge updates","chromium","2026-08-10","passed","2026-08-10","Inventory - Inventory Tests","inventory/inventory.spec.js","",""
"","1594","TC-007: Verify locked out user cannot login","chromium","2026-08-10","passed","2026-08-10","Authentication - Login Tests","auth/login.spec.js","",""
